origin	dest	demand
6	11	400.0
6	12	200.0
6	13	200.0
6	14	100.0
6	15	200.0
6	16	900.0
6	17	500.0
6	18	100.0
6	19	200.0
6	20	300.0
6	21	100.0
6	22	200.0
6	23	100.0
6	24	100.0
7	1	500.0
7	2	200.0
7	3	100.0
7	4	400.0
7	5	200.0
7	6	400.0
7	8	1000.0
7	9	600.0
7	10	1900.0
7	11	500.0
7	12	700.0
7	13	400.0
7	14	200.0
7	15	500.0
7	16	1400.0
7	17	1000.0
7	18	200.0
7	19	400.0
7	20	500.0
7	21	200.0
7	22	500.0
7	23	200.0
7	24	100.0
8	1	800.0
8	2	400.0
8	3	200.0
8	4	700.0
8	5	500.0
8	6	800.0
8	7	1000.0
8	9	800.0
8	10	1600.0
8	11	800.0
8	12	600.0
8	13	600.0
8	14	400.0
8	15	600.0
8	16	2200.0
8	17	1400.0
8	18	300.0
8	19	700.0
8	20	900.0
8	21	400.0
8	22	500.0
8	23	300.0
8	24	200.0
9	1	500.0
9	2	200.0
9	3	100.0
9	4	700.0
9	5	800.0
9	6	400.0
9	7	600.0
9	8	800.0
9	10	2800.0
9	11	1400.0
9	12	600.0
9	13	600.0
9	14	600.0
9	15	900.0
9	16	1400.0
9	17	900.0
9	18	200.0
9	19	400.0
9	20	600.0
9	21	300.0
9	22	700.0
9	23	500.0
9	24	200.0
10	1	1300.0
10	2	600.0
10	3	300.0
10	4	1200.0
10	5	1000.0
10	6	800.0
10	7	1900.0
10	8	1600.0
10	9	2800.0
10	11	4000.0
10	12	2000.0
10	13	1900.0
10	14	2100.0
10	15	4000.0
10	16	4400.0
10	17	3900.0
10	18	700.0
10	19	1800.0
10	20	2500.0
10	21	1200.0
10	22	2600.0
10	23	1800.0
10	24	800.0
11	1	500.0
11	2	200.0
11	3	300.0
11	4	1500.0
11	5	500.0
11	6	400.0
11	7	500.0
11	8	800.0
11	9	1400.0
11	10	3900.0
11	12	1400.0
11	13	1000.0
11	14	1600.0
11	15	1400.0
11	16	1400.0
11	17	1000.0
11	18	100.0
11	19	400.0
11	20	600.0
11	21	400.0
11	22	1100.0
11	23	1300.0
11	24	600.0
12	1	200.0
12	2	100.0
12	3	200.0
12	4	600.0
12	5	200.0
12	6	200.0
12	7	700.0
12	8	600.0
12	9	600.0
12	10	2000.0
12	11	1400.0
12	13	1300.0
12	14	700.0
12	15	700.0
12	16	700.0
12	17	600.0
12	18	200.0
12	19	300.0
12	20	400.0
12	21	300.0
12	22	700.0
12	23	700.0
12	24	500.0
13	1	500.0
13	2	300.0
13	3	100.0
13	4	600.0
13	5	200.0
13	6	200.0
13	7	400.0
13	8	600.0
13	9	600.0
13	10	1900.0
13	11	1000.0
13	12	1300.0
13	14	600.0
13	15	700.0
13	16	600.0
13	17	500.0
13	18	100.0
13	19	300.0
13	20	600.0
13	21	600.0
13	22	1300.0
13	23	800.0
13	24	800.0
14	1	300.0
14	2	100.0
14	3	100.0
14	4	500.0
14	5	100.0
14	6	100.0
14	7	200.0
14	8	400.0
14	9	600.0
14	10	2100.0
14	11	1600.0
14	12	700.0
14	13	600.0
14	15	1300.0
14	16	700.0
14	17	700.0
14	18	100.0
14	19	300.0
14	20	500.0
14	21	400.0
14	22	1200.0
14	23	1100.0
14	24	400.0
15	1	500.0
15	2	100.0
15	3	100.0
15	4	500.0
15	5	200.0
15	6	200.0
15	7	500.0
15	8	600.0
15	9	1000.0
15	10	4000.0
15	11	1400.0
15	12	700.0
15	13	700.0
15	14	1300.0
15	16	1200.0
15	17	1500.0
15	18	200.0
15	19	800.0
15	20	1100.0
15	21	800.0
15	22	2600.0
15	23	1000.0
15	24	400.0
16	1	500.0
16	2	400.0
16	3	200.0
16	4	800.0
16	5	500.0
16	6	900.0
16	7	1400.0
16	8	2200.0
16	9	1400.0
16	10	4400.0
16	11	1400.0
16	12	700.0
16	13	600.0
16	14	700.0
16	15	1200.0
16	17	2800.0
16	18	500.0
16	19	1300.0
16	20	1600.0
16	21	600.0
16	22	1200.0
16	23	500.0
16	24	300.0
17	1	400.0
17	2	200.0
17	3	100.0
17	4	500.0
17	5	200.0
17	6	500.0
17	7	1000.0
17	8	1400.0
17	9	900.0
17	10	3900.0
17	11	1000.0
17	12	600.0
17	13	500.0
17	14	700.0
17	15	1500.0
17	16	2800.0
17	18	600.0
17	19	1700.0
17	20	1700.0
17	21	600.0
17	22	1700.0
17	23	600.0
17	24	300.0
18	1	100.0
18	2	0.0
18	3	0.0
18	4	100.0
18	5	0.0
18	6	100.0
18	7	200.0
18	8	300.0
18	9	200.0
18	10	700.0
18	11	200.0
18	12	200.0
18	13	100.0
18	14	100.0
18	15	200.0
18	16	500.0
18	17	600.0
18	19	300.0
18	20	400.0
18	21	100.0
18	22	300.0
18	23	100.0
18	24	0.0
19	1	300.0
19	2	100.0
19	3	0.0
19	4	200.0
19	5	100.0
19	6	200.0
19	7	400.0
19	8	700.0
19	9	400.0
19	10	1800.0
19	11	400.0
19	12	300.0
19	13	300.0
19	14	300.0
19	15	800.0
19	16	1300.0
19	17	1700.0
19	18	300.0
19	20	1200.0
19	21	400.0
19	22	1200.0
19	23	300.0
19	24	100.0
20	1	300.0
20	2	100.0
20	3	0.0
20	4	300.0
20	5	100.0
20	6	300.0
20	7	500.0
20	8	900.0
20	9	600.0
20	10	2500.0
20	11	600.0
20	12	500.0
20	13	600.0
20	14	500.0
20	15	1100.0
20	16	1600.0
20	17	1700.0
20	18	400.0
20	19	1200.0
20	21	1200.0
20	22	2400.0
20	23	700.0
20	24	400.0
21	1	100.0
21	2	0.0
21	3	0.0
21	4	200.0
21	5	100.0
21	6	100.0
21	7	200.0
21	8	400.0
21	9	300.0
21	10	1200.0
21	11	400.0
21	12	300.0
21	13	600.0
21	14	400.0
21	15	800.0
21	16	600.0
21	17	600.0
21	18	100.0
21	19	400.0
21	20	1200.0
21	22	1800.0
21	23	700.0
21	24	500.0
22	1	400.0
22	2	100.0
22	3	100.0
22	4	400.0
22	5	200.0
22	6	200.0
22	7	500.0
22	8	500.0
22	9	700.0
22	10	2600.0
22	11	1100.0
22	12	700.0
22	13	1300.0
22	14	1200.0
22	15	2600.0
22	16	1200.0
22	17	1700.0
22	18	300.0
22	19	1200.0
22	20	2400.0
22	21	1800.0
22	23	2100.0
22	24	1100.0
23	1	300.0
23	2	0.0
23	3	100.0
23	4	500.0
23	5	100.0
23	6	100.0
23	7	200.0
23	8	300.0
23	9	500.0
23	10	1800.0
23	11	1300.0
23	12	700.0
23	13	800.0
23	14	1100.0
23	15	1000.0
23	16	500.0
23	17	600.0
23	18	100.0
23	19	300.0
23	20	700.0
23	21	700.0
23	22	2100.0
23	24	700.0
24	1	100.0
24	2	0.0
24	3	0.0
24	4	200.0
24	5	0.0
24	6	100.0
24	7	100.0
24	8	200.0
24	9	200.0
24	10	800.0
24	11	600.0
24	12	500.0
24	13	700.0
24	14	400.0
24	15	400.0
24	16	300.0
24	17	300.0
24	18	0.0
24	19	100.0
24	20	400.0
24	21	500.0
24	22	1100.0
24	23	700.0
